table_schema,table_name,column_name,ordinal_position,data_type,is_nullable,column_default
public,admin_assignment_roster_v,assignment_id,1,uuid,YES,
public,admin_assignment_roster_v,booking_id,2,text,YES,
public,admin_assignment_roster_v,member_id,3,uuid,YES,
public,admin_assignment_roster_v,full_name,4,text,YES,
public,admin_assignment_roster_v,email,5,text,YES,
public,admin_assignment_roster_v,status,6,USER-DEFINED,YES,
public,admin_assignment_roster_v,marked_at,7,timestamp with time zone,YES,
public,admin_assignment_roster_v,marked_by,8,uuid,YES,
public,admin_class_overview_v,assignment_id,1,uuid,YES,
public,admin_class_overview_v,instructor_id,2,uuid,YES,
public,admin_class_overview_v,date,3,date,YES,
public,admin_class_overview_v,start_time,4,time without time zone,YES,
public,admin_class_overview_v,end_time,5,time without time zone,YES,
public,admin_class_overview_v,class_status,6,text,YES,
public,admin_class_overview_v,payment_status,7,USER-DEFINED,YES,
public,admin_class_overview_v,final_payment_amount,8,numeric,YES,
public,admin_class_overview_v,class_type_name,9,text,YES,
public,admin_class_overview_v,class_type_description,10,text,YES,
public,admin_class_overview_v,class_type_difficulty,11,text,YES,
public,admin_class_overview_v,class_type_duration,12,integer,YES,
public,admin_class_overview_v,schedule_type,13,text,YES,
public,admin_class_overview_v,timezone,14,text,YES,
public,admin_class_overview_v,attended_count,15,bigint,YES,
public,admin_class_overview_v,no_show_count,16,bigint,YES,
public,admin_class_overview_v,absent_count,17,bigint,YES,
public,admin_class_overview_v,avg_rating,18,numeric,YES,
public,admin_class_overview_v,ratings_submitted,19,bigint,YES,
public,admin_users,id,1,uuid,NO,gen_random_uuid()
public,admin_users,email,2,text,NO,
public,admin_users,role,3,text,NO,'admin'::text
public,admin_users,created_at,4,timestamp with time zone,YES,now()
public,admin_users,updated_at,5,timestamp with time zone,YES,now()
public,article_moderation_logs,id,1,uuid,NO,gen_random_uuid()
public,article_moderation_logs,article_id,2,uuid,YES,
public,article_moderation_logs,action,3,character varying,NO,
public,article_moderation_logs,moderated_by,4,uuid,YES,
public,article_moderation_logs,moderated_at,5,timestamp with time zone,YES,now()
public,article_moderation_logs,comment,6,text,YES,
public,article_views,id,1,uuid,NO,gen_random_uuid()
public,article_views,article_id,2,uuid,NO,
public,article_views,fingerprint,3,text,NO,
public,article_views,viewed_at,4,timestamp with time zone,NO,now()
public,articles,id,1,uuid,NO,gen_random_uuid()
public,articles,title,2,text,NO,
public,articles,content,3,text,NO,
public,articles,preview_text,4,text,NO,
public,articles,image_url,5,text,YES,
public,articles,video_url,6,text,YES,
public,articles,category,7,text,NO,'general'::text
public,articles,tags,8,ARRAY,YES,'{}'::text[]
public,articles,status,9,text,NO,'draft'::text
public,articles,view_count,10,integer,NO,0
public,articles,created_at,11,timestamp with time zone,NO,now()
public,articles,updated_at,12,timestamp with time zone,NO,now()
public,articles,published_at,13,timestamp with time zone,YES,
public,articles,author_id,14,uuid,YES,
public,articles,moderated_at,15,timestamp with time zone,YES,
public,articles,moderated_by,16,uuid,YES,
public,articles,moderation_status,17,text,YES,
public,assignment_bookings,id,1,uuid,NO,gen_random_uuid()
public,assignment_bookings,assignment_id,2,uuid,NO,
public,assignment_bookings,booking_id,3,text,NO,
public,assignment_bookings,created_at,4,timestamp with time zone,YES,now()
public,assignment_bookings_view_roster,assignment_id,1,uuid,YES,
public,assignment_bookings_view_roster,booking_id,2,text,YES,
public,assignment_bookings_view_roster,user_id,3,uuid,YES,
public,assignment_bookings_view_roster,full_name,4,text,YES,
public,assignment_bookings_view_roster,email,5,text,YES,
public,assignment_bookings_view_roster,status,6,USER-DEFINED,YES,
public,assignment_bookings_view_roster,notes,7,text,YES,
public,assignment_bookings_view_roster,marked_at,8,timestamp with time zone,YES,
public,assignments_with_timezone,id,1,uuid,YES,
public,assignments_with_timezone,scheduled_class_id,2,uuid,YES,
public,assignments_with_timezone,instructor_id,3,uuid,YES,
public,assignments_with_timezone,assigned_by,4,uuid,YES,
public,assignments_with_timezone,payment_amount,5,numeric,YES,
public,assignments_with_timezone,payment_status,6,USER-DEFINED,YES,
public,assignments_with_timezone,notes,7,text,YES,
public,assignments_with_timezone,assigned_at,8,timestamp with time zone,YES,
public,assignments_with_timezone,created_at,9,timestamp with time zone,YES,
public,assignments_with_timezone,updated_at,10,timestamp with time zone,YES,
public,assignments_with_timezone,class_type_id,11,uuid,YES,
public,assignments_with_timezone,date,12,date,YES,
public,assignments_with_timezone,start_time,13,time without time zone,YES,
public,assignments_with_timezone,end_time,14,time without time zone,YES,
public,assignments_with_timezone,schedule_type,15,text,YES,
public,assignments_with_timezone,class_status,16,text,YES,
public,assignments_with_timezone,payment_date,17,date,YES,
public,assignments_with_timezone,instructor_status,18,text,YES,
public,assignments_with_timezone,instructor_response_at,19,timestamp with time zone,YES,
public,assignments_with_timezone,instructor_remarks,20,text,YES,
public,assignments_with_timezone,rejection_reason,21,text,YES,
public,assignments_with_timezone,payment_type,22,character varying,YES,
public,assignments_with_timezone,package_id,23,uuid,YES,
public,assignments_with_timezone,timezone,24,text,YES,
public,assignments_with_timezone,created_in_timezone,25,text,YES,
public,assignments_with_timezone,assignment_method,26,text,YES,
public,assignments_with_timezone,recurrence_days,27,ARRAY,YES,
public,assignments_with_timezone,parent_assignment_id,28,uuid,YES,
public,assignments_with_timezone,start_datetime_utc,29,timestamp with time zone,YES,
public,assignments_with_timezone,end_datetime_utc,30,timestamp with time zone,YES,
public,assignments_with_timezone,class_type_name,31,text,YES,
public,assignments_with_timezone,package_name,32,text,YES,
public,assignments_with_timezone,package_class_count,33,integer,YES,
public,assignments_with_timezone,instructor_name,34,text,YES,
public,badges,id,1,uuid,NO,gen_random_uuid()
public,badges,name,2,text,NO,
public,badges,icon_url,3,text,YES,
public,badges,description,4,text,YES,
public,blog_posts,id,1,uuid,NO,gen_random_uuid()
public,blog_posts,title,2,text,NO,
public,blog_posts,slug,3,text,NO,
public,blog_posts,excerpt,4,text,YES,
public,blog_posts,content,5,text,NO,
